FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: msg;wws-graphql.js:1981[53:55]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: msg;wws-graphql.js:2000[49:51]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... d ....';wws-graphql.js:2081[25:113]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ...  ' ...';wws-graphql.js:2083[23:133]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... d ....';wws-graphql.js:2106[31:122]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... ons...';wws-graphql.js:2108[29:144]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... d ....';wws-graphql.js:2116[25:128]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... ons...';wws-graphql.js:2118[23:149]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: msg;wws-graphql.js:2149[23:25]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: msg;wws-graphql.js:2168[21:23]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: ""wwsAdd ... ssageId;wws-graphql.js:2173[21:76]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: 'wwsAdd ... ssageId;wws-graphql.js:2175[20:75]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:1926[23:25];Sink: msg;wws-graphql.js:2175[78:80]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","1926","23","1926","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-graphql.js:2210[23:25];Sink: logMsg;wws-graphql.js:39[21:26]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:2210[23:25];Sink: msg;wws-graphql.js:2225[65:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:2210[23:25];Sink: msg;wws-graphql.js:2239[65:67]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:2210[23:25];Sink: msg;wws-graphql.js:2263[63:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;wws-graphql.js:2210[23:25];Sink: msg;wws-graphql.js:2406[19:21]::FLOW_DESCR_END","/wws-graphql/wws-graphql.js","2210","23","2210","25"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-message-post.js:79[35:37];Sink: msg;wws-message-post.js:149[27:29]::FLOW_DESCR_END","/wws-message-post/wws-message-post.js","79","35","79","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;wws-token-viewer.js:57[35:37];Sink: msg;wws-token-viewer.js:66[23:25]::FLOW_DESCR_END","/wws-token-viewer/wws-token-viewer.js","57","35","57","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.data.message;wws-webhook.js:247[51:66];Sink: logMsg;wws-webhook.js:41[25:30]::FLOW_DESCR_END","/wws-webhook/wws-webhook.js","247","51","247","66"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.data.message;wws-webhook.js:250[46:61];Sink: logMsg;wws-webhook.js:41[25:30]::FLOW_DESCR_END","/wws-webhook/wws-webhook.js","250","46","250","61"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.dat ... ateInfo;wws-webhook.js:329[40:66];Sink: (logMsg ... "" "", 2);wws-webhook.js:35[25:83]::FLOW_DESCR_END","/wws-webhook/wws-webhook.js","329","40","329","66"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.data.space;wws-webhook.js:329[40:53];Sink: (logMsg ... "" "", 2);wws-webhook.js:35[25:83]::FLOW_DESCR_END","/wws-webhook/wws-webhook.js","329","40","329","53"
