FLOW_DESCR_START::Source: err;skoda-library.js:1124[18:20];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1124[18:20];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1124[18:20];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END","/lib/skoda-library.js","1124","18","1124","20"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: resp;skoda-library.js:1124[23:26];Sink: resp.statusCode;skoda-library.js:1128[50:64]::FLOW_DESCR_END","/lib/skoda-library.js","1124","23","1124","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;skoda-library.js:1124[29:32];Sink: body.er ... ription;skoda-library.js:150[27:48]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1124[29:32];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1124[29:32];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1124[29:32];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1124[29:32];Sink: JSON.stringify(body);skoda-library.js:1129[49:68]::FLOW_DESCR_END","/lib/skoda-library.js","1124","29","1124","32"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;skoda-library.js:1188[18:20];Sink: body.er ... ription;skoda-library.js:150[27:48]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1188[18:20];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1188[18:20];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1188[18:20];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END","/lib/skoda-library.js","1188","18","1188","20"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: resp;skoda-library.js:1188[23:26];Sink: resp.st ... Message;skoda-library.js:1191[50:92]::FLOW_DESCR_END","/lib/skoda-library.js","1188","23","1188","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;skoda-library.js:1188[29:32];Sink: body.er ... ription;skoda-library.js:150[27:48]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1188[29:32];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1188[29:32];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1188[29:32];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1188[29:32];Sink: JSON.stringify(body);skoda-library.js:1192[49:68]::FLOW_DESCR_END","/lib/skoda-library.js","1188","29","1188","32"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;skoda-library.js:1244[18:20];Sink: body.er ... ription;skoda-library.js:150[27:48]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1244[18:20];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1244[18:20];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;skoda-library.js:1244[18:20];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END","/lib/skoda-library.js","1244","18","1244","20"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: resp;skoda-library.js:1244[23:26];Sink: resp.statusCode;skoda-library.js:1247[50:64]::FLOW_DESCR_END","/lib/skoda-library.js","1244","23","1244","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;skoda-library.js:1244[29:32];Sink: body.er ... ription;skoda-library.js:150[27:48]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1244[29:32];Sink: error;skoda-library.js:163[39:43]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1244[29:32];Sink: error;skoda-library.js:163[61:65]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1244[29:32];Sink: error.stack;skoda-library.js:165[49:59]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;skoda-library.js:1244[29:32];Sink: JSON.stringify(body);skoda-library.js:1248[49:68]::FLOW_DESCR_END","/lib/skoda-library.js","1244","29","1244","32"
